,brand,prices,Discount,Ratings,Capacity,colour,User_Ratings,original_price
379,SAMSUNG,54999,11,4.3,6.5,Grey,422,23000
380,BOSCH,17710,17,4.5,8,Silver,4966,31299
381,SAMSUNG,23990,13,4.0,7,Grey,61984,11984
382,BOSCH,9999,28,4.4,6,White,5164,53990
383,SAMSUNG,39990,13,4.3,6.5,Grey,6,6690
384,LG,5699,36,4.3,7,Black,7098,34990
385,ONIDA,30750,10,5.0,7,Maroon,12280,24700
386,IFB,17790,24,5.0,9,Silver,9,39999
387,SAMSUNG,35749,17,4.4,7,Silver,62485,42990
388,LG,29997,13,5.0,10,Silver,85,36990
389,LG,30990,28,5.0,Grey,Grey,157,50000
390,LG,37812,21,4.1,6,White,14,46190
391,SAMSUNG,35490,16,3.0,7,Grey,18807,23900
392,BOSCH,15399,33,1.0,7.5,White,8,38990
393,Godrej,32634,15,4.3,6.5,Grey,3423,18550
394,LG,14994,45,4.0,10,Black,45,34590
395,Whirlpool,29990,9,5.0,8.5,Silver,54,20490
396,IFB,19290,23,4.3,7,Hea...,18807,48690
397,IFB,37990,3,5.0,6.5,Silver,25,43999
398,BOSCH,25990,14,5.0,7,Silver,91,26500
399,Haier,18490,11,4.2,6.5,Grey,61984,20990
400,Panasonic,15990,14,5.0,12,Multicolor,61,18300
401,LG,15700,32,4.3,8,Black,9,13500
402,SAMSUNG,11290,40,4.4,9.5,White,12280,12990
403,Godrej,9390,17,4.3,7.5,Purple,10135,21350
404,Voltas,19090,37,4.0,7,Maroon,62485,42690
405,Whirlpool,37589,26,4.1,6.5,Grey,14,36790
406,BOSCH,32990,28,4.3,7,Grey,30,34590
407,IFB,29990,14,4.4,7,Silver,186,18550
408,IFB,14994,28,4.5,7,Hea...,18807,20490
409,Whirlpool,19290,9,4.5,8.5,Silver,13298,16800
410,IFB,13990,11,4.3,6.5,Silver,40,48690
411,SAMSUNG,37990,24,4.4,6.5,Silver,3448,39999
412,BOSCH,22990,9,4.3,7,Silver,23,24490
413,Motorola,14990,45,4.2,6.5,In-buil...,125,9900
414,ONIDA,8990,33,4.0,7.5,Grey,18807,20990
415,SAMSUNG,14100,17,4.8,6,Purple,157,24500
416,Whirlpool,16990,16,4.6,7.5,Red,2037,38400
417,Panasonic,31500,22,4.1,6.7,Grey,18,11250
418,SAMSUNG,9940,20,4.3,6.5,Silver,4,21290
419,Whirlpool,13990,18,5.0,7,Grey,694,12990
420,Voltas,9390,16,5.0,8.5,White,193,26500
421,Voltas,36990,30,4.3,7,Maroon,2613,31000
422,IFB,21990,33,5.0,10,Grey,4966,18490
423,SAMSUNG,22990,22,5.0,6,Hea...,352,6990
424,Godrej,15890,36,4.4,7,White,5,23300
425,Whirlpool,5199,23,5.0,9,White,4185,14700
426,Daenyx,19990,7,5.0,7.5,Maroon,14,32900
427,Whirlpool,12593,23,4.1,7.5,Grey,4,37400
428,Whirlpool,22250,40,5.0,7.5,Maroon,6,56000
429,Haier,32490,25,5.0,8.2,Gold,1172,37900
430,SAMSUNG,42250,22,4.4,7,Grey,3120,32600
431,SAMSUNG,29990,18,4.0,8,Black,49,11950
432,SAMSUNG,26869,12,5.0,7,White,885,16800
433,SAMSUNG,9990,11,4.4,6,White,1324,14100
434,ONIDA,13990,18,4.2,7.5,White,5199,33990
435,SAMSUNG,13599,23,4.4,6.5,Silver,61984,32490
436,Whirlpool,29479,16,4.4,7.5,Red,3,9900
437,BOSCH,25010,16,4.3,6,White,372,39290
438,LG,8990,23,4.5,6,White,11533,15600
439,SAMSUNG,24990,23,4.1,6,Purple,12280,11250
440,LG,26990,16,4.2,6.5,Beige,29,17850
441,Voltas,12790,23,4.4,7,Grey,400,24300
442,SAMSUNG,9940,12,4.3,7.5,Red,30,43623
443,Whirlpool,16100,23,4.3,7,Grey,62485,26500
444,SAMSUNG,20990,30,4.3,6.5,Silver,31,28500
445,Godrej,32210,22,4.6,7,Brown,4966,43120
446,Haier,21990,25,4.5,7,Silver,18807,149990
447,SAMSUNG,18490,14,4.2,6,Hea...,473,23300
448,Godrej,28990,12,4.5,7.5,Black,3448,40848
449,Whirlpool,118890,27,4.3,7,White,8,21350
